model,fold,held_out_patient,aggregation,metric,value,n_units,ci_lower,ci_upper
Transformer,pooled,all,cell_pooled,recall,0.9740002265775461,4.0,0.0,0.9896824486988421
Transformer,pooled,all,cell_pooled,specificity,0.9708839930523814,4.0,0.9481631082900558,0.9914634146341463
Transformer,pooled,all,cell_pooled,f1,0.9691145803979034,4.0,0.0,0.9908138180877216
Transformer,pooled,all,cell_pooled,brier,0.022922095732904907,4.0,0.007200198443662301,0.0421373504442434
Transformer,pooled,all,cell_pooled,log_loss,0.10234189608373416,4.0,0.02934057360715561,0.19785215934255465
Transformer,pooled,all,patient_pooled,roc_auc,1.0,4.0,1.0,1.0
Transformer,pooled,all,patient_pooled,accuracy,1.0,4.0,1.0,1.0
Transformer,pooled,all,patient_pooled,precision,1.0,4.0,0.0,1.0
Transformer,pooled,all,patient_pooled,recall,1.0,4.0,0.0,1.0
Transformer,pooled,all,patient_pooled,specificity,1.0,4.0,1.0,1.0
Transformer,pooled,all,patient_pooled,f1,1.0,4.0,0.0,1.0
Transformer,pooled,all,patient_pooled,brier,0.001353936927536888,4.0,0.00011700706779961637,0.0028825923091807654
Transformer,pooled,all,patient_pooled,log_loss,0.031380280351510255,4.0,0.01084584914392436,0.054952604140381923
Transformer,pooled,all,sample_pooled,roc_auc,1.0,4.0,1.0,1.0
Transformer,pooled,all,sample_pooled,accuracy,1.0,4.0,1.0,1.0
Transformer,pooled,all,sample_pooled,precision,1.0,4.0,0.0,1.0
Transformer,pooled,all,sample_pooled,recall,1.0,4.0,0.0,1.0
Transformer,pooled,all,sample_pooled,specificity,1.0,4.0,1.0,1.0
Transformer,pooled,all,sample_pooled,f1,1.0,4.0,0.0,1.0
Transformer,pooled,all,sample_pooled,brier,0.001353936927536888,4.0,0.00011700706779961637,0.0028825923091807654
Transformer,pooled,all,sample_pooled,log_loss,0.031380280351510255,4.0,0.01084584914392436,0.054952604140381923
XGBoost,pooled,all,cell_pooled,roc_auc,0.0,4.0,0.0,0.0
XGBoost,pooled,all,cell_pooled,accuracy,0.0,4.0,0.0,0.0
XGBoost,pooled,all,cell_pooled,precision,0.0,4.0,0.0,0.0
XGBoost,pooled,all,cell_pooled,recall,0.0,4.0,0.0,0.0
XGBoost,pooled,all,cell_pooled,specificity,0.0,4.0,0.0,0.0
XGBoost,pooled,all,cell_pooled,f1,0.0,4.0,0.0,0.0
XGBoost,pooled,all,cell_pooled,brier,0.417793208786797,4.0,0.4057856561935099,0.42903818603321675
XGBoost,pooled,all,cell_pooled,log_loss,1.039951171325851,4.0,1.0140042141055012,1.0643470545626734
XGBoost,pooled,all,patient_pooled,roc_auc,0.0,4.0,0.0,0.0
XGBoost,pooled,all,patient_pooled,accuracy,0.0,4.0,0.0,0.0
XGBoost,pooled,all,patient_pooled,precision,0.0,4.0,0.0,0.0
XGBoost,pooled,all,patient_pooled,recall,0.0,4.0,0.0,0.0
XGBoost,pooled,all,patient_pooled,specificity,0.0,4.0,0.0,0.0
XGBoost,pooled,all,patient_pooled,f1,0.0,4.0,0.0,0.0
XGBoost,pooled,all,patient_pooled,brier,0.4183122747868573,4.0,0.4057414878966328,0.42923248034671324
XGBoost,pooled,all,patient_pooled,log_loss,1.0407773341137214,4.0,1.0133012302974498,1.0646788658191035
XGBoost,pooled,all,sample_pooled,roc_auc,0.0,4.0,0.0,0.0
XGBoost,pooled,all,sample_pooled,accuracy,0.0,4.0,0.0,0.0
XGBoost,pooled,all,sample_pooled,precision,0.0,4.0,0.0,0.0
XGBoost,pooled,all,sample_pooled,recall,0.0,4.0,0.0,0.0
XGBoost,pooled,all,sample_pooled,specificity,0.0,4.0,0.0,0.0
XGBoost,pooled,all,sample_pooled,f1,0.0,4.0,0.0,0.0
XGBoost,pooled,all,sample_pooled,brier,0.4183122747868573,4.0,0.4057414878966328,0.42923248034671324
XGBoost,pooled,all,sample_pooled,log_loss,1.0407773341137214,4.0,1.0133012302974498,1.0646788658191035
