sensitivity_analysis,model,fold,held_out_patient,aggregation,metric,value,n_units,ci_lower,ci_upper
combined_all_timepoints,Transformer,3,PT3,cell_fold,f1,0.0,,,
combined_all_timepoints,Transformer,3,PT3,cell_fold,brier,0.0104189705324162,,,
combined_all_timepoints,Transformer,3,PT3,cell_fold,log_loss,0.0440070319623915,,,
combined_all_timepoints,Transformer,3,PT3,patient_fold,roc_auc,,1.0,,
combined_all_timepoints,Transformer,3,PT3,patient_fold,accuracy,1.0,1.0,,
combined_all_timepoints,Transformer,3,PT3,patient_fold,precision,0.0,1.0,,
combined_all_timepoints,Transformer,3,PT3,patient_fold,recall,0.0,1.0,,
combined_all_timepoints,Transformer,3,PT3,patient_fold,specificity,1.0,1.0,,
combined_all_timepoints,Transformer,3,PT3,patient_fold,f1,0.0,1.0,,
combined_all_timepoints,Transformer,3,PT3,patient_fold,brier,0.0002199558816218,1.0,,
combined_all_timepoints,Transformer,3,PT3,patient_fold,log_loss,0.0149419872325969,1.0,,
combined_all_timepoints,Transformer,4,PT4,cell_fold,roc_auc,,,,
combined_all_timepoints,Transformer,4,PT4,cell_fold,accuracy,0.996558956544537,,,
combined_all_timepoints,Transformer,4,PT4,cell_fold,precision,0.0,,,
combined_all_timepoints,Transformer,4,PT4,cell_fold,recall,0.0,,,
combined_all_timepoints,Transformer,4,PT4,cell_fold,specificity,0.996558956544537,,,
combined_all_timepoints,Transformer,4,PT4,cell_fold,f1,0.0,,,
combined_all_timepoints,Transformer,4,PT4,cell_fold,brier,0.002691465661404,,,
combined_all_timepoints,Transformer,4,PT4,cell_fold,log_loss,0.01104563507596,,,
combined_all_timepoints,Transformer,4,PT4,patient_fold,roc_auc,,1.0,,
combined_all_timepoints,Transformer,4,PT4,patient_fold,accuracy,1.0,1.0,,
combined_all_timepoints,Transformer,4,PT4,patient_fold,precision,0.0,1.0,,
combined_all_timepoints,Transformer,4,PT4,patient_fold,recall,0.0,1.0,,
combined_all_timepoints,Transformer,4,PT4,patient_fold,specificity,1.0,1.0,,
combined_all_timepoints,Transformer,4,PT4,patient_fold,f1,0.0,1.0,,
combined_all_timepoints,Transformer,4,PT4,patient_fold,brier,1.5100833298837637e-05,1.0,,
combined_all_timepoints,Transformer,4,PT4,patient_fold,log_loss,0.0038935491000149,1.0,,
combined_all_timepoints,Transformer,pooled,all,cell_pooled,roc_auc,0.9994576750062576,4.0,0.9989412866958908,0.9998978509980512
combined_all_timepoints,Transformer,pooled,all,cell_pooled,accuracy,0.9914057581420448,4.0,0.9873291178335148,0.9967970770362288
combined_all_timepoints,Transformer,pooled,all,cell_pooled,precision,0.9859590607095784,4.0,0.0,1.0
combined_all_timepoints,Transformer,pooled,all,cell_pooled,recall,0.990863136269024,4.0,0.0,0.9974215728405672
combined_all_timepoints,Transformer,pooled,all,cell_pooled,specificity,0.9917240067222628,4.0,0.9871928746928746,0.996558956544537
combined_all_timepoints,Transformer,pooled,all,cell_pooled,f1,0.9884050155049212,4.0,0.0,0.9966868673415024
combined_all_timepoints,Transformer,pooled,all,cell_pooled,brier,0.00701444815553,4.0,0.0025316881196579,0.0103520052507376
combined_all_timepoints,Transformer,pooled,all,cell_pooled,log_loss,0.0298348484107979,4.0,0.0105281920056612,0.0439495440680659
combined_all_timepoints,Transformer,pooled,all,patient_pooled,roc_auc,1.0,4.0,1.0,1.0
combined_all_timepoints,Transformer,pooled,all,patient_pooled,accuracy,1.0,4.0,1.0,1.0
combined_all_timepoints,Transformer,pooled,all,patient_pooled,precision,1.0,4.0,0.0,1.0
combined_all_timepoints,Transformer,pooled,all,patient_pooled,recall,1.0,4.0,0.0,1.0
combined_all_timepoints,Transformer,pooled,all,patient_pooled,specificity,1.0,4.0,1.0,1.0
combined_all_timepoints,Transformer,pooled,all,patient_pooled,f1,1.0,4.0,0.0,1.0
combined_all_timepoints,Transformer,pooled,all,patient_pooled,brier,0.0001058695132449,4.0,1.250135548286162e-05,0.0002095967690595
combined_all_timepoints,Transformer,pooled,all,patient_pooled,log_loss,0.0088596007369467,4.0,0.003522617660846,0.0145692852745517
combined_all_timepoints,Transformer,pooled,all,sample_pooled,roc_auc,1.0,11.0,1.0,1.0
combined_all_timepoints,Transformer,pooled,all,sample_pooled,accuracy,1.0,11.0,1.0,1.0
combined_all_timepoints,Transformer,pooled,all,sample_pooled,precision,1.0,11.0,0.0,1.0
combined_all_timepoints,Transformer,pooled,all,sample_pooled,recall,1.0,11.0,0.0,1.0
combined_all_timepoints,Transformer,pooled,all,sample_pooled,specificity,1.0,11.0,1.0,1.0
combined_all_timepoints,Transformer,pooled,all,sample_pooled,f1,1.0,11.0,0.0,1.0
combined_all_timepoints,Transformer,pooled,all,sample_pooled,brier,0.000120066267332,11.0,2.0332285867602025e-05,0.000211293305806
combined_all_timepoints,Transformer,pooled,all,sample_pooled,log_loss,0.0093917286046866,11.0,0.004103726093936,0.0141143674156872
