sensitivity_analysis,model,fold,held_out_patient,aggregation,metric,value,n_units,ci_lower,ci_upper
gene_only_baseline,Transformer,pooled,all,cell_pooled,recall,0.9984706015633852,4.0,0.0,0.9997707210821964
gene_only_baseline,Transformer,pooled,all,cell_pooled,specificity,0.9951092421610752,4.0,0.9912483169840354,0.9986062717770036
gene_only_baseline,Transformer,pooled,all,cell_pooled,f1,0.99621340567424,4.0,0.0,0.9995582094657184
gene_only_baseline,Transformer,pooled,all,cell_pooled,brier,0.0027206702020773,4.0,0.0006876672712633,0.005894439274127
gene_only_baseline,Transformer,pooled,all,cell_pooled,log_loss,0.0099316668188298,4.0,0.0027036626362521,0.0212620822629846
gene_only_baseline,Transformer,pooled,all,patient_pooled,roc_auc,1.0,4.0,1.0,1.0
gene_only_baseline,Transformer,pooled,all,patient_pooled,accuracy,1.0,4.0,1.0,1.0
gene_only_baseline,Transformer,pooled,all,patient_pooled,precision,1.0,4.0,0.0,1.0
gene_only_baseline,Transformer,pooled,all,patient_pooled,recall,1.0,4.0,0.0,1.0
gene_only_baseline,Transformer,pooled,all,patient_pooled,specificity,1.0,4.0,1.0,1.0
gene_only_baseline,Transformer,pooled,all,patient_pooled,f1,1.0,4.0,0.0,1.0
gene_only_baseline,Transformer,pooled,all,patient_pooled,brier,3.515101162293371e-05,4.0,2.268335675259593e-06,9.212358582187484e-05
gene_only_baseline,Transformer,pooled,all,patient_pooled,log_loss,0.0044728488285872,4.0,0.0012934523436758,0.0092455044360477
gene_only_baseline,Transformer,pooled,all,sample_pooled,roc_auc,1.0,4.0,1.0,1.0
gene_only_baseline,Transformer,pooled,all,sample_pooled,accuracy,1.0,4.0,1.0,1.0
gene_only_baseline,Transformer,pooled,all,sample_pooled,precision,1.0,4.0,0.0,1.0
gene_only_baseline,Transformer,pooled,all,sample_pooled,recall,1.0,4.0,0.0,1.0
gene_only_baseline,Transformer,pooled,all,sample_pooled,specificity,1.0,4.0,1.0,1.0
gene_only_baseline,Transformer,pooled,all,sample_pooled,f1,1.0,4.0,0.0,1.0
